country_name,iso_code,year,gdp_per_capita,population,co2,co2_per_capita,life_expectancy
Australia,AUS,1990,18273.56153,17065128.0,278.0610046386719,16.235902786254883,77.0414
Australia,AUS,1991,18885.42745,17284036.0,279.4373779296875,16.10293960571289,77.4806
Australia,AUS,1992,18650.36755,17478635.0,284.4334411621094,16.207693099975586,77.4731
Australia,AUS,1993,17724.53995,17634808.0,288.7804260253906,16.294191360473633,78.006
Australia,AUS,1994,18155.6282,17805468.0,293.61328125,16.40532875061035,77.8515
Australia,AUS,1995,20479.17483,18004882.0,304.9623107910156,16.853084564208984,78.2569
Australia,AUS,1996,22055.83849,18224767.0,311.85089111328125,17.03609275817871,78.3436
Australia,AUS,1997,23683.4949,18423037.0,320.2425231933594,17.30581283569336,78.6256
Australia,AUS,1998,21516.04031,18607584.0,334.03778076171875,17.861351013183594,79.0202
Australia,AUS,1999,20749.64438,18812264.0,343.8761901855469,18.18490600585937,79.2769
Australia,AUS,2000,21908.9968,19028802.0,349.89764404296875,18.28815650939941,79.6207
Australia,AUS,2001,19733.65101,19274701.0,357.66778564453125,18.46938705444336,80.006
Australia,AUS,2002,20335.09602,19495210.0,362.4249267578125,18.495450973510746,80.0515
Australia,AUS,2003,23757.58985,19720737.0,370.784423828125,18.70810890197754,80.4396
Australia,AUS,2004,30886.05009,19932722.0,382.0048828125,19.055768966674805,80.7334
Australia,AUS,2005,34535.20727,20176844.0,385.0815124511719,18.974681854248047,81.0923
Australia,AUS,2006,36658.82435,20450966.0,391.3725280761719,19.00737190246582,81.2581
Australia,AUS,2007,41128.24766,20827622.0,398.896240234375,19.036264419555664,81.2324
Australia,AUS,2008,49811.20672,21249199.0,404.279296875,18.91754913330078,81.4267
Australia,AUS,2009,42954.84949,21691653.0,406.9770812988281,18.68323135375977,81.7283
Australia,AUS,2010,52313.8939,22031750.0,405.0259399414063,18.29254722595215,82.0132
Australia,AUS,2011,62799.3895,22340024.0,403.8743896484375,17.96611976623535,82.0911
Australia,AUS,2012,68301.44025,22733465.0,405.005126953125,17.72245979309082,82.2966
Australia,AUS,2013,68476.67885,23128129.0,397.8498840332031,17.121932983398438,82.5511
Australia,AUS,2014,62817.20618,23475686.0,392.6095886230469,16.639102935791016,82.5182
Australia,AUS,2015,56970.3613,23815995.0,400.5891723632813,16.727460861206055,82.605
Australia,AUS,2016,50084.44406,24190907.0,409.6663208007813,16.837934494018555,82.8014
Australia,AUS,2017,54117.54772,24592588.0,413.4078369140625,16.716150283813477,82.7184
Australia,AUS,2018,57410.17373,24963258.0,414.7805786132813,16.512163162231445,83.2582
Australia,AUS,2019,55194.75851,25334826.0,414.9253234863281,16.28261947631836,83.2412
Australia,AUS,2020,51983.45237,25649248.0,398.5469055175781,15.481285095214844,83.6639
Australia,AUS,2021,60758.90444,25685412.0,388.4722900390625,14.96632957458496,83.564
Australia,AUS,2022,65169.51911,26018721.0,384.0784301757813,14.658929824829102,82.7662
Australia,AUS,2023,65058.37731,26659922.0,384.3160705566406,14.529289245605469,83.9228
Bangladesh,BGD,1990,283.0537371,111633717.0,14.08159637451172,0.1261410564184188,55.8219
Bangladesh,BGD,1991,272.0649485,113787109.0,14.752974510192873,0.1296541839838028,53.7809
Bangladesh,BGD,1992,273.4650725,115952192.0,15.39089584350586,0.1327348351478576,56.5915
Bangladesh,BGD,1993,280.7572745,118132360.0,16.073917388916016,0.1360670030117035,57.0729
Bangladesh,BGD,1994,280.6030318,120343179.0,17.552698135375977,0.1458553522825241,57.6403
Bangladesh,BGD,1995,309.4586808,122600370.0,21.05636978149414,0.171748012304306,58.2442
Bangladesh,BGD,1996,371.9179377,124862179.0,21.507471084594727,0.1722496896982193,58.9395
Bangladesh,BGD,1997,379.2849177,127198069.0,23.14411354064941,0.1819533407688141,59.6713
Bangladesh,BGD,1998,385.6168818,129622332.0,23.21611976623535,0.1791058629751205,60.4291
Bangladesh,BGD,1999,388.0956843,132108065.0,25.093307495117188,0.1899453103542328,61.2444
Bangladesh,BGD,2000,396.6707302,134544304.0,26.53926658630371,0.1972529888153076,62.0487
Bangladesh,BGD,2001,394.65641,136805810.0,31.0642204284668,0.2270679920911789,62.8358
Bangladesh,BGD,2002,393.8864223,138933658.0,32.00688934326172,0.2303753495216369,63.5914
Bangladesh,BGD,2003,426.7488075,140970351.0,33.495933532714844,0.2376097738742828,64.2877
Bangladesh,BGD,2004,455.6140169,142902856.0,35.978172302246094,0.2517666518688202,64.9118
Bangladesh,BGD,2005,480.0858508,144715786.0,37.7166748046875,0.2606258392333984,65.5087
Bangladesh,BGD,2006,490.3880265,146405973.0,41.725807189941406,0.2850007116794586,66.0479
Bangladesh,BGD,2007,537.9554928,147989278.0,42.67510223388672,0.2883661687374115,66.4578
Bangladesh,BGD,2008,613.062041,149474264.0,45.34149169921875,0.3033397793769836,67.0471
Bangladesh,BGD,2009,679.2114774,150873714.0,49.18837738037109,0.3260234892368316,67.5269
Bangladesh,BGD,2010,757.3852804,152201981.0,54.0355224609375,0.3550251126289367,68.0091
Bangladesh,BGD,2011,837.3369447,153591076.0,55.59271240234375,0.3619527518749237,68.4988
Bangladesh,BGD,2012,859.6805364,155070101.0,59.703861236572266,0.3850120306015014,68.9894
Bangladesh,BGD,2013,958.2629898,156532141.0,64.7627944946289,0.4137348234653473,69.4874
